"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2011Q2","Single house","Offaly County Council","Number","32"
"New Dwelling Completion","2011Q2","Single house","Roscommon County Council","Number","29"
"New Dwelling Completion","2011Q2","Single house","South Dublin County Council","Number","7"
"New Dwelling Completion","2011Q2","Single house","Sligo County Council","Number","27"
"New Dwelling Completion","2011Q2","Single house","Tipperary County Council","Number","44"
"New Dwelling Completion","2011Q2","Single house","Waterford City & County Council","Number","26"
"New Dwelling Completion","2011Q2","Single house","Westmeath County Council","Number","30"
"New Dwelling Completion","2011Q2","Single house","Wicklow County Council","Number","21"
"New Dwelling Completion","2011Q2","Single house","Wexford County Council","Number","67"
"New Dwelling Completion","2011Q2","Single house","Ireland","Number","1194"
"New Dwelling Completion","2011Q2","Scheme house","Cork City Council","Number","14"
"New Dwelling Completion","2011Q2","Scheme house","Clare County Council","Number","8"
"New Dwelling Completion","2011Q2","Scheme house","Cavan County Council","Number","1"
"New Dwelling Completion","2011Q2","Scheme house","Cork County Council","Number","24"
"New Dwelling Completion","2011Q2","Scheme house","Carlow County Council","Number","8"
"New Dwelling Completion","2011Q2","Scheme house","Dublin City Council","Number","7"
"New Dwelling Completion","2011Q2","Scheme house","Dún Laoghaire Rathdown County Council","Number","5"
"New Dwelling Completion","2011Q2","Scheme house","Donegal County Council","Number","32"
"New Dwelling Completion","2011Q2","Scheme house","Fingal County Council","Number","88"
"New Dwelling Completion","2011Q2","Scheme house","Galway County Council","Number","4"
"New Dwelling Completion","2011Q2","Scheme house","Galway City Council","Number","9"
"New Dwelling Completion","2011Q2","Scheme house","Kildare County Council","Number","4"
"New Dwelling Completion","2011Q2","Scheme house","Kilkenny County Council","Number","9"
"New Dwelling Completion","2011Q2","Scheme house","Kerry County Council","Number","2"
"New Dwelling Completion","2011Q2","Scheme house","Longford County Council","Number","0"
"New Dwelling Completion","2011Q2","Scheme house","Louth County Council","Number","19"
"New Dwelling Completion","2011Q2","Scheme house","Limerick City & County Council","Number","2"
"New Dwelling Completion","2011Q2","Scheme house","Leitrim County Council","Number","0"
"New Dwelling Completion","2011Q2","Scheme house","Laois County Council","Number","6"
"New Dwelling Completion","2011Q2","Scheme house","Meath County Council","Number","6"
"New Dwelling Completion","2011Q2","Scheme house","Monaghan County Council","Number","0"
"New Dwelling Completion","2011Q2","Scheme house","Mayo County Council","Number","9"
"New Dwelling Completion","2011Q2","Scheme house","Offaly County Council","Number","4"
"New Dwelling Completion","2011Q2","Scheme house","Roscommon County Council","Number","23"
"New Dwelling Completion","2011Q2","Scheme house","South Dublin County Council","Number","8"
"New Dwelling Completion","2011Q2","Scheme house","Sligo County Council","Number","7"
"New Dwelling Completion","2011Q2","Scheme house","Tipperary County Council","Number","50"
"New Dwelling Completion","2011Q2","Scheme house","Waterford City & County Council","Number","3"
"New Dwelling Completion","2011Q2","Scheme house","Westmeath County Council","Number","6"
"New Dwelling Completion","2011Q2","Scheme house","Wicklow County Council","Number","12"
"New Dwelling Completion","2011Q2","Scheme house","Wexford County Council","Number","10"
"New Dwelling Completion","2011Q2","Scheme house","Ireland","Number","380"
"New Dwelling Completion","2011Q2","Apartment","Cork City Council","Number","6"
"New Dwelling Completion","2011Q2","Apartment","Clare County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Cavan County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Cork County Council","Number","17"
"New Dwelling Completion","2011Q2","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Dublin City Council","Number","89"
"New Dwelling Completion","2011Q2","Apartment","Dún Laoghaire Rathdown County Council","Number","51"
"New Dwelling Completion","2011Q2","Apartment","Donegal County Council","Number","1"
"New Dwelling Completion","2011Q2","Apartment","Fingal County Council","Number","24"
"New Dwelling Completion","2011Q2","Apartment","Galway County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Galway City Council","Number","1"
"New Dwelling Completion","2011Q2","Apartment","Kildare County Council","Number","2"
"New Dwelling Completion","2011Q2","Apartment","Kilkenny County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Kerry County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Longford County Council","Number","2"
"New Dwelling Completion","2011Q2","Apartment","Louth County Council","Number","6"
"New Dwelling Completion","2011Q2","Apartment","Limerick City & County Council","Number","1"
"New Dwelling Completion","2011Q2","Apartment","Leitrim County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Laois County Council","Number","1"
"New Dwelling Completion","2011Q2","Apartment","Meath County Council","Number","3"
"New Dwelling Completion","2011Q2","Apartment","Monaghan County Council","Number","1"
"New Dwelling Completion","2011Q2","Apartment","Mayo County Council","Number","4"
"New Dwelling Completion","2011Q2","Apartment","Offaly County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Roscommon County Council","Number","2"
"New Dwelling Completion","2011Q2","Apartment","South Dublin County Council","Number","1"
"New Dwelling Completion","2011Q2","Apartment","Sligo County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Tipperary County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Waterford City & County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Westmeath County Council","Number","1"
"New Dwelling Completion","2011Q2","Apartment","Wicklow County Council","Number","4"
"New Dwelling Completion","2011Q2","Apartment","Wexford County Council","Number","0"
"New Dwelling Completion","2011Q2","Apartment","Ireland","Number","217"
"New Dwelling Completion","2011Q2","All house types","Cork City Council","Number","36"
"New Dwelling Completion","2011Q2","All house types","Clare County Council","Number","49"
"New Dwelling Completion","2011Q2","All house types","Cavan County Council","Number","28"
"New Dwelling Completion","2011Q2","All house types","Cork County Council","Number","200"
"New Dwelling Completion","2011Q2","All house types","Carlow County Council","Number","24"
