"STATISTIC Label","Quarter","Type of House","Local Authority","UNIT","VALUE"
"New Dwelling Completion","2022Q1","All house types","Limerick City & County Council","Number","159"
"New Dwelling Completion","2022Q1","All house types","Leitrim County Council","Number","9"
"New Dwelling Completion","2022Q1","All house types","Laois County Council","Number","76"
"New Dwelling Completion","2022Q1","All house types","Meath County Council","Number","284"
"New Dwelling Completion","2022Q1","All house types","Monaghan County Council","Number","56"
"New Dwelling Completion","2022Q1","All house types","Mayo County Council","Number","98"
"New Dwelling Completion","2022Q1","All house types","Offaly County Council","Number","138"
"New Dwelling Completion","2022Q1","All house types","Roscommon County Council","Number","41"
"New Dwelling Completion","2022Q1","All house types","South Dublin County Council","Number","243"
"New Dwelling Completion","2022Q1","All house types","Sligo County Council","Number","35"
"New Dwelling Completion","2022Q1","All house types","Tipperary County Council","Number","79"
"New Dwelling Completion","2022Q1","All house types","Waterford City & County Council","Number","163"
"New Dwelling Completion","2022Q1","All house types","Westmeath County Council","Number","69"
"New Dwelling Completion","2022Q1","All house types","Wicklow County Council","Number","268"
"New Dwelling Completion","2022Q1","All house types","Wexford County Council","Number","218"
"New Dwelling Completion","2022Q1","All house types","Ireland","Number","5628"
"New Dwelling Completion","2022Q2","Single house","Cork City Council","Number","19"
"New Dwelling Completion","2022Q2","Single house","Clare County Council","Number","54"
"New Dwelling Completion","2022Q2","Single house","Cavan County Council","Number","28"
"New Dwelling Completion","2022Q2","Single house","Cork County Council","Number","172"
"New Dwelling Completion","2022Q2","Single house","Carlow County Council","Number","20"
"New Dwelling Completion","2022Q2","Single house","Dublin City Council","Number","16"
"New Dwelling Completion","2022Q2","Single house","Dún Laoghaire Rathdown County Council","Number","9"
"New Dwelling Completion","2022Q2","Single house","Donegal County Council","Number","94"
"New Dwelling Completion","2022Q2","Single house","Fingal County Council","Number","22"
"New Dwelling Completion","2022Q2","Single house","Galway County Council","Number","131"
"New Dwelling Completion","2022Q2","Single house","Galway City Council","Number","5"
"New Dwelling Completion","2022Q2","Single house","Kildare County Council","Number","38"
"New Dwelling Completion","2022Q2","Single house","Kilkenny County Council","Number","39"
"New Dwelling Completion","2022Q2","Single house","Kerry County Council","Number","64"
"New Dwelling Completion","2022Q2","Single house","Longford County Council","Number","14"
"New Dwelling Completion","2022Q2","Single house","Louth County Council","Number","29"
"New Dwelling Completion","2022Q2","Single house","Limerick City & County Council","Number","54"
"New Dwelling Completion","2022Q2","Single house","Leitrim County Council","Number","10"
"New Dwelling Completion","2022Q2","Single house","Laois County Council","Number","40"
"New Dwelling Completion","2022Q2","Single house","Meath County Council","Number","69"
"New Dwelling Completion","2022Q2","Single house","Monaghan County Council","Number","40"
"New Dwelling Completion","2022Q2","Single house","Mayo County Council","Number","70"
"New Dwelling Completion","2022Q2","Single house","Offaly County Council","Number","33"
"New Dwelling Completion","2022Q2","Single house","Roscommon County Council","Number","26"
"New Dwelling Completion","2022Q2","Single house","South Dublin County Council","Number","9"
"New Dwelling Completion","2022Q2","Single house","Sligo County Council","Number","24"
"New Dwelling Completion","2022Q2","Single house","Tipperary County Council","Number","53"
"New Dwelling Completion","2022Q2","Single house","Waterford City & County Council","Number","26"
"New Dwelling Completion","2022Q2","Single house","Westmeath County Council","Number","38"
"New Dwelling Completion","2022Q2","Single house","Wicklow County Council","Number","37"
"New Dwelling Completion","2022Q2","Single house","Wexford County Council","Number","59"
"New Dwelling Completion","2022Q2","Single house","Ireland","Number","1342"
"New Dwelling Completion","2022Q2","Scheme house","Cork City Council","Number","237"
"New Dwelling Completion","2022Q2","Scheme house","Clare County Council","Number","91"
"New Dwelling Completion","2022Q2","Scheme house","Cavan County Council","Number","47"
"New Dwelling Completion","2022Q2","Scheme house","Cork County Council","Number","274"
"New Dwelling Completion","2022Q2","Scheme house","Carlow County Council","Number","31"
"New Dwelling Completion","2022Q2","Scheme house","Dublin City Council","Number","38"
"New Dwelling Completion","2022Q2","Scheme house","Dún Laoghaire Rathdown County Council","Number","125"
"New Dwelling Completion","2022Q2","Scheme house","Donegal County Council","Number","59"
"New Dwelling Completion","2022Q2","Scheme house","Fingal County Council","Number","347"
"New Dwelling Completion","2022Q2","Scheme house","Galway County Council","Number","98"
"New Dwelling Completion","2022Q2","Scheme house","Galway City Council","Number","77"
"New Dwelling Completion","2022Q2","Scheme house","Kildare County Council","Number","454"
"New Dwelling Completion","2022Q2","Scheme house","Kilkenny County Council","Number","95"
"New Dwelling Completion","2022Q2","Scheme house","Kerry County Council","Number","148"
"New Dwelling Completion","2022Q2","Scheme house","Longford County Council","Number","1"
"New Dwelling Completion","2022Q2","Scheme house","Louth County Council","Number","154"
"New Dwelling Completion","2022Q2","Scheme house","Limerick City & County Council","Number","121"
"New Dwelling Completion","2022Q2","Scheme house","Leitrim County Council","Number","1"
"New Dwelling Completion","2022Q2","Scheme house","Laois County Council","Number","99"
"New Dwelling Completion","2022Q2","Scheme house","Meath County Council","Number","462"
"New Dwelling Completion","2022Q2","Scheme house","Monaghan County Council","Number","43"
"New Dwelling Completion","2022Q2","Scheme house","Mayo County Council","Number","42"
"New Dwelling Completion","2022Q2","Scheme house","Offaly County Council","Number","49"
"New Dwelling Completion","2022Q2","Scheme house","Roscommon County Council","Number","0"
"New Dwelling Completion","2022Q2","Scheme house","South Dublin County Council","Number","321"
"New Dwelling Completion","2022Q2","Scheme house","Sligo County Council","Number","20"
"New Dwelling Completion","2022Q2","Scheme house","Tipperary County Council","Number","37"
"New Dwelling Completion","2022Q2","Scheme house","Waterford City & County Council","Number","65"
"New Dwelling Completion","2022Q2","Scheme house","Westmeath County Council","Number","28"
"New Dwelling Completion","2022Q2","Scheme house","Wicklow County Council","Number","274"
"New Dwelling Completion","2022Q2","Scheme house","Wexford County Council","Number","100"
"New Dwelling Completion","2022Q2","Scheme house","Ireland","Number","3938"
"New Dwelling Completion","2022Q2","Apartment","Cork City Council","Number","107"
"New Dwelling Completion","2022Q2","Apartment","Clare County Council","Number","20"
"New Dwelling Completion","2022Q2","Apartment","Cavan County Council","Number","6"
"New Dwelling Completion","2022Q2","Apartment","Cork County Council","Number","43"
"New Dwelling Completion","2022Q2","Apartment","Carlow County Council","Number","0"
"New Dwelling Completion","2022Q2","Apartment","Dublin City Council","Number","967"
"New Dwelling Completion","2022Q2","Apartment","Dún Laoghaire Rathdown County Council","Number","535"
"New Dwelling Completion","2022Q2","Apartment","Donegal County Council","Number","4"
"New Dwelling Completion","2022Q2","Apartment","Fingal County Council","Number","223"
"New Dwelling Completion","2022Q2","Apartment","Galway County Council","Number","3"
"New Dwelling Completion","2022Q2","Apartment","Galway City Council","Number","58"
"New Dwelling Completion","2022Q2","Apartment","Kildare County Council","Number","74"
"New Dwelling Completion","2022Q2","Apartment","Kilkenny County Council","Number","12"
"New Dwelling Completion","2022Q2","Apartment","Kerry County Council","Number","2"
"New Dwelling Completion","2022Q2","Apartment","Longford County Council","Number","5"
"New Dwelling Completion","2022Q2","Apartment","Louth County Council","Number","17"
"New Dwelling Completion","2022Q2","Apartment","Limerick City & County Council","Number","41"
"New Dwelling Completion","2022Q2","Apartment","Leitrim County Council","Number","2"
"New Dwelling Completion","2022Q2","Apartment","Laois County Council","Number","13"
"New Dwelling Completion","2022Q2","Apartment","Meath County Council","Number","8"
"New Dwelling Completion","2022Q2","Apartment","Monaghan County Council","Number","16"
"New Dwelling Completion","2022Q2","Apartment","Mayo County Council","Number","2"
"New Dwelling Completion","2022Q2","Apartment","Offaly County Council","Number","9"
"New Dwelling Completion","2022Q2","Apartment","Roscommon County Council","Number","1"
"New Dwelling Completion","2022Q2","Apartment","South Dublin County Council","Number","95"
"New Dwelling Completion","2022Q2","Apartment","Sligo County Council","Number","4"
"New Dwelling Completion","2022Q2","Apartment","Tipperary County Council","Number","18"
"New Dwelling Completion","2022Q2","Apartment","Waterford City & County Council","Number","2"
"New Dwelling Completion","2022Q2","Apartment","Westmeath County Council","Number","26"
"New Dwelling Completion","2022Q2","Apartment","Wicklow County Council","Number","16"
"New Dwelling Completion","2022Q2","Apartment","Wexford County Council","Number","10"
"New Dwelling Completion","2022Q2","Apartment","Ireland","Number","2339"
"New Dwelling Completion","2022Q2","All house types","Cork City Council","Number","363"
"New Dwelling Completion","2022Q2","All house types","Clare County Council","Number","165"
"New Dwelling Completion","2022Q2","All house types","Cavan County Council","Number","81"
